access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
public,24 hours daily,,,2020-01-27,,ELEC,Public,60418,,,E,HENDRICK BMW NL,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.3686708,-80.8319098,Charlotte,STATION 01,,NC,Hendrick Way,28269,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:94441'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,60749,,,E,FLOW BMW,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0601753,-80.2581742,Winston-Salem,STATION 01,,NC,2573-2575 NC-150,27127,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:95645'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,60789,,,E,BMW  ASHEVILLE,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.4384307,-82.5356201,Fletcher,STATION 01,,NC,649 Airport Rd,28732,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:95289'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,60861,,,E,LEITH BMW,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.8633385,-78.5831355,Raleigh,STATION 01,,NC,5601 Capital Blvd,27616,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:95723'], 'ports': ['1', '2']}",
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,61410,2014-02-01,P,E,Fred Anderson Nissan,919-324-3443,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.896757,-78.760671,Raleigh,,,NC,9225 Glenwood Ave,27617,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
private,,,,2019-09-09,,ELEC,Private,61411,2014-02-01,P,E,Fred Anderson Nissan,919-324-3443,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.896757,-78.760671,Raleigh,,,NC,9225 Glenwood Ave,27617,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,61520,,,E,CROWN BMW,888-758-4389,2020-01-27T10:14:46Z,,GPS,36.0604918,-79.8777206,Greensboro,STATION 01,,NC,3902 Wendover Ave W,27407,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:95401'], 'ports': ['1', '2']}",
public,24 hours daily,,,2019-10-04,,ELEC,Public,61524,2014-04-01,P,E,Imperial Center,919-941-5745,2020-01-21T18:34:38Z,PARKING_GARAGE,200-9,35.877097,-78.842616,Durham,,,NC,1007 Slater Rd,27703,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,9am-5pm M-F,CALL,,2019-11-08,,ELEC,Public - Call ahead,61530,2014-03-07,P,E,Alphainstall.com Building,774-257-4246,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.729727,-79.176032,Pittsboro,"On Highway 15-501 and Hillsboro Street, near the intersection with Highway 64.",,NC,697 Hillsboro St,27312,US,['CHADEMO'],1.0,,,Non-Networked,,,Free,SOLAR,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,61619,,,E,VALLEY BMW,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0800092,-78.9468895,Fayetteville,STATION 01,,NC,3832-3856 Sycamore Dairy Rd,28303,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $25 per additional hour, $2.11 per kWh",,"{'posts': ['1:99383'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,61737,,,E,GASTON COUNTY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.2566002,-81.0427959,Belmont,VISITOR CENTER; Located in the main parking lot of the Gaston County Visitor Center,,NC,620 N. Main Street,28012,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:99437'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,61738,,,E,GASTON COUNTY,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.2672937,-81.0980338,Lowell,LOWELL LIBRARY; Located beside book drop at side of library,,NC,203 McAdenville Rd.,28098,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:99487'], 'ports': ['1']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,61811,,,E,UNC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9329982,-79.0579388,Chapel Hill,"GILES HORNEY; UNC parking permit required Mon - Fri, 7:30am - 5pm",,NC,103 Airport Dr,27599,US,"['J1772', 'NEMA520']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,$0.75 per hour,,"{'posts': ['1:86153'], 'ports': ['1', '2']}",
public,24 hours daily,,,2019-10-04,,ELEC,Public,61816,2014-05-12,P,E,Town of Apex - Saunders Street Parking Lot,919-249-3400,2020-01-21T18:34:38Z,PARKING_LOT,GPS,35.7318283,-78.8544049,Apex,Located across the street from the Apex Police Department,,NC,205 Saunders St,25702,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,61845,,,E,PERFORMANCE BMW,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9453628,-79.0092813,Chapel Hill,STATION 01,,NC,1810 Durham-Chapel Hill Blvd,27514,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:95485'], 'ports': ['1', '2']}",
public,8am-5pm M-F,,,2019-10-04,,ELEC,Public,62280,2012-04-01,P,E,Echoview Fiber Mill,828-348-4864,2020-01-21T18:34:38Z,OTHER,200-9,35.759451,-82.54994,Weaverville,,,NC,76 Jupiter Rd,28787,US,['J1772'],,,5.0,Non-Networked,,,Free,SOLAR,,
private,Service center use only,,,2019-12-12,,ELEC,Private,62314,2012-05-15,P,E,Fields Auto Group,828-667-5213,2020-01-21T18:34:38Z,CAR_DEALER,GPS,35.562735,-82.63133,Asheville,,,NC,255 Smokey Park Hwy,28806,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily,CALL,,2019-10-04,,ELEC,Public - Call ahead,62316,2013-06-30,SG,E,North Carolina Museum of Life and Science,919-220-5429,2020-01-21T18:34:38Z,MUSEUM,200-9,36.030987,-78.898207,Durham,,,NC,433 W Murray Ave,27704,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,Dealership business hours,CALL,,2019-02-06,,ELEC,Public - Call ahead,62828,2014-08-11,P,E,Ben Mynatt Chevrolet Cadillac,704-786-2151,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.395326,-80.610927,Concord,,,NC,281 Concord Pkwy S,28027,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,63074,2014-04-01,P,E,SAS Institute Inc - G,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.823401,-78.76124,Cary,Located at Picnic Shelter,,NC,300 Matrix Dr,27513,US,['J1772'],,,2.0,Non-Networked,,,,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,63075,2014-04-01,P,E,SAS Institute Inc - S,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.822242,-78.757042,Cary,Located at Building S,,NC,600 SAS Campus Dr,27607,US,['J1772'],,,4.0,Non-Networked,,,,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,63076,2014-04-01,P,E,SAS Institute Inc - R,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.824815,-78.757352,Cary,Located at Building R,,NC,500 SAS Campus Dr,27513,US,['J1772'],,,8.0,Non-Networked,,,,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,63239,,,E,BSMG,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.994403,-78.904802,Durham,"NORTH DECK 1; Located on the Lower Level
NORTH DECK 2; Located on the Lower Level",,NC,305 Jackson St,27701,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:103153', '1:106129'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,63298,,,E,BSMG,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.992739,-78.902515,Durham,"EAST DECK 1; Located on the Lower Level
EAST DECK 2; Located on the Lower Level
EAST DECK 3; Located on the Lower Level",,NC,250 South Mangum Street,27701,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:103113', '1:105985', '1:105993'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,63299,,,E,BSMG,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9917846,-78.9062516,Durham,SOUTH DECK 1; Located on the Lower Level,,NC,705 Willard Street,27701,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:106009'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,63303,,,E,UNC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9060678,-79.0456786,Chapel Hill,RAMSHEAD 1; +$1.50 per hour ,,NC,104 Ridge Rd,27514,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.75 per hour,,"{'posts': ['1:106207'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,63335,,,E,UNC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9033304,-79.0524485,Chapel Hill,CARDINAL DECK 1; UNC Permit required,,NC,Cardinal Deck Skywalk,27514,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.75 per hour,,"{'posts': ['1:106155'], 'ports': ['1', '2']}",
public,Garage business hours,,,2019-10-04,,ELEC,Public,63368,2013-06-01,SG,E,Appalachian State University - Rivers Street Parking Deck,828-262-2878,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,36.212469,-81.680442,Boone,Located on the 1st level,,NC,461 Rivers St,28608,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,63766,,,E,RTP,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9198422,-78.8779099,Durham,EMC - RTP; Front Parking Area,,NC,62 T W Alexander Drive,27703,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1 per hour,,"{'posts': ['1:107191'], 'ports': ['1', '2']}",
public,Dealership business hours,CALL,,2019-02-06,,ELEC,Public - Call ahead,64385,2014-10-01,P,E,CrossRoads Ford,919-460-5620,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.757603,-78.749721,Cary,,,NC,1660 Piney Plains Rd,27518,US,['NEMA520'],,1.0,,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,64399,2014-10-15,LG,E,Gaston Courthouse Community Center,704-922-3176,2020-01-21T18:34:38Z,MUNI_GOV,200-9,35.316002,-81.176575,Dallas,,,NC,131 N Gaston St,28034,US,['J1772'],,,4.0,Non-Networked,,,Free,,,
private,Service center use only,,,2019-02-06,,ELEC,Private,64510,2013-12-01,P,E,Asheville Ford,828-253-2731,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.550684,-82.601894,Asheville,,,NC,611 Brevard Rd,28806,US,['J1772'],,,1.0,Non-Networked,,,,,,
public,24 hours daily; see FREEDM Reception desk for parking permit,,,2019-10-04,,ELEC,Public,64755,2011-10-31,SG,E,North Carolina State University - Keystone Science Center,919-513-3334,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,200-9,35.774673,-78.677792,Raleigh,,,NC,1791 Varsity Dr,27606,US,"['CHADEMO', 'J1772']",1.0,,2.0,Non-Networked,,,Free,SOLAR,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,65505,,,E,CLT AIRPORT,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.220714,-80.944417,Charlotte,"LEVEL4_ST1; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 4
LEVEL4_ST2; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 4
LEVEL4_ST3; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 4
LEVEL5_ST1; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 5
LEVEL5_ST2; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 5
LEVEL5_ST3; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 5
LEVEL6_ST1; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 6
LEVEL6_ST2; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 6
LEVEL6_ST3; Located Across the Terminal Building on the West Side of Hourly Parking Deck Level 6",,NC,5501 R C Josh Birmingham Pkwy,28208,US,['J1772'],,,18.0,ChargePoint Network,http://www.chargepoint.com/,,$5 per session,,"{'posts': ['1:112279', '1:112285', '1:112287', '1:112671', '1:112677', '1:112685', '1:112687', '1:112691', '1:112695'], 'ports': ['1', '2']}",
public,24 hours daily,,,2019-10-04,,ELEC,Public,65509,2014-09-01,P,E,Ingles Market,704-735-2398,2020-01-21T18:34:38Z,GROCERY,200-9,35.478123,-81.221638,Lincolnton,,,NC,2130 E Main St,28092,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,65512,2014-10-01,P,E,Sunshine Chevrolet,,2020-01-21T18:34:38Z,CAR_DEALER,200-9,35.480846,-82.564542,Arden,,,NC,100 Thunderland Cir,28704,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily; Key card required; Also accepts prepaid card,KEY_ALWAYS,M V,2019-10-04,,ELEC,Public - Card key at all times,65520,2015-01-01,P,E,Mills Rentals Office,919-967-0045,2020-01-21T18:34:38Z,STREET_PARKING,200-9,35.897388,-79.052478,Chapel Hill,Located next to the street between 118 and 119 Purefoy Rd,,NC,120 Purefoy Rd,27514,US,['J1772'],,,1.0,Non-Networked,,,$1.50 per hour,,,
public,8:30am-5pm M-F,,,2019-05-09,,ELEC,Public,65924,2015-01-01,LG,E,Piedmont Triad Regional Council,336-904-0300,2020-01-21T18:34:38Z,MUNI_GOV,GPS,36.079558,-80.064636,Kernsersville,Crews Farm Rd and NC Highway 66 S,,NC,1398 Carrollton Crossing Dr,27284,US,['J1772'],,,1.0,OpConnect,http://www.opconnect.com/,,$2.10 per hour,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,66409,2014-11-01,P,E,Ingles Market,828-253-1326,2020-01-21T18:34:38Z,GROCERY,200-8,35.62983,-82.552775,Asheville,,,NC,915 Merrimon Ave,28804,US,['J1772'],,,3.0,Non-Networked,,,Free,,,
public,24 hours daily,CREDIT_CARD_ALWAYS,A D M V,2019-03-07,,ELEC,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),66530,,P,T,Asheville-Buncombe Technical Community College,828-398-7900,2020-01-21T18:34:38Z,COLLEGE_CAMPUS,GPS,35.58133,-82.56911,Asheville,Closest to the Meadow Rd entrance in lot B17,,NC,368 Victoria Rd,28801,US,['J1772'],,,1.0,Non-Networked,,,DC Fast $0.50 per 5 minutes; Level 2 $0.50 per hour,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,66697,,,E,BSMG,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.9926581,-78.9059994,Durham,SOUTH DECK 2; Located on the Lower Level,,NC,Julian Carr St,27701,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 4 hours, and $3.5 per additional hour",,"{'posts': ['1:103139'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,66793,,,E,STATION #1,888-758-4389,2020-01-27T10:14:46Z,,200-9,35.5293,-82.604791,Asheville,"STATION 1 COACH; The station is located at the Coach Entrance
STATION 2; -",,NC,800 Brevard Rd,28806,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:114007', '1:117893'], 'ports': ['1', '2']}",
public,24 hours daily,,,2019-10-04,,ELEC,Public,67127,2015-01-01,LG,E,Concord Regional Airport - Hourly Parking Lot,704-920-5900,2020-01-21T18:34:38Z,AIRPORT,200-9,35.387187,-80.710369,Concord,,,NC,9000 Aviation Blvd,28027,US,['J1772'],,,2.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,67172,,,E,MEBANE,888-758-4389,2020-01-27T10:14:46Z,,200-8,36.074317,-79.268452,Mebane,"TANGER EV 1; The station is located in the parking area near the Polo Ralph Lauren store
TANGER EV 2; The station is located in the parking area   near the Polo Ralph Lauren store",,NC,4000 Arrowhead Blvd,27302,US,['J1772'],,,4.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:116995', '1:117871'], 'ports': ['1', '2']}",
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,68003,2014-09-01,P,E,SAS Institute Inc - U,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.820801,-78.753109,Cary,Located at Building U,,NC,720 SAS Campus Dr,27513,US,['J1772'],,,4.0,Non-Networked,,,,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,68004,2014-09-01,P,E,SAS Institute Inc - Q,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.82111,-78.749317,Cary,Located at Building Q,,NC,801 SAS Campus Dr,27513,US,['J1772'],,,6.0,Non-Networked,,,,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,68005,2014-09-01,P,E,SAS Institute Inc - H,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.827144,-78.76066,Cary,Located at Building H,,NC,301 SAS Campus Dr,27513,US,['J1772'],,,6.0,Non-Networked,,,,,,
private,Employee and guest use only,,,2019-11-08,,ELEC,Private,68006,2014-09-01,P,E,SAS Institute Inc - LW,,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.828483,-78.767465,Cary,Located at Building LW,,NC,104 SAS Campus Dr,27513,US,['J1772'],,,2.0,Non-Networked,,,,,,
public,24 hours daily,,,2019-10-04,,ELEC,Public,68269,2015-06-29,P,E,Beach Ready Auto,252-489-4891,2020-01-21T18:34:38Z,AUTO_REPAIR,200-9,36.093125,-75.808695,Point Harbor,,,NC,8863 Caratoke Hwy,27964,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Store business hours; for customer use only,,,2019-05-09,,ELEC,Public,68383,2014-02-26,P,E,Publix #1442,704-716-2344,2020-01-23T19:34:33Z,GROCERY,GPS,35.0435,-80.84951,Charlotte,Located in the parking lot in front of the store,,NC,11222 Providence Rd W,28277,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,Store business hours; for customer use only,,,2019-05-09,,ELEC,Public,68384,2015-04-18,P,E,Publix #1453,704-373-2122,2020-01-23T19:34:33Z,GROCERY,GPS,35.208237,-80.86254,Charlotte,Located in the parking garage P-2 on the back left corner by stairwell.,,NC,2222 South Blvd,28203,US,['J1772'],,,1.0,Non-Networked,,,Free,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,68827,,,E,ASBURYVILLAGE,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.7950271,-78.7381743,Raleigh,ASBURY STAT 1; Across from building 3 (821 Handsworth),,NC,814 Handsworth Ln,27607,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:121279'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,69213,,,E,EC STATION,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.913597,-75.60263,Nags Head,CROATAN HWY 1; near main entrance,,NC,7100 S Croatan Hwy,27959,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:1806501'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,70594,,,E,VRF,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0533181,-80.8121696,Charlotte,ROBINSON FARM; Rea Rd &amp; Williams Pond Lane at Village at Robinson Farm,,NC,8430 Rea Rd,28277,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1 per hour,,"{'posts': ['1:117443'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,71287,,,E,FARMERS MARKET,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.6333797,-80.1138796,Denton,FARMERS_MARKET,,NC,23 W Salisbury St,27239,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:126197'], 'ports': ['1']}",
public,Garage business hours,,,2019-05-09,,ELEC,Public,71495,2015-09-01,LG,E,Greene Street Parking Deck,855-885-9571,2020-01-21T18:34:38Z,PARKING_GARAGE,200-8,36.070934,-79.791617,Greensboro,,,NC,211 S Greene St,27401,US,['J1772'],,,1.0,OpConnect,http://www.opconnect.com/,,$2.10 per hour,,,
public,24 hours daily,,,2020-01-27,,ELEC,Public,71807,,,E,FPWC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.028946,-79.0444841,Fayetteville,LAKE RIM PARK 1; In front of kids playground ,,NC,2214 Tar Kiln Dr Lake Rim Park,28304,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:121229'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,71808,,,E,FPWC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.087778,-78.870909,Fayetteville,CLARK PARK 1; Against center fence of parking spots,,NC,Cape Fear River Trail,28301,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:121233'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,71809,,,E,FPWC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.069194,-78.9220797,Fayetteville,HONEYCUTT 1; SW corner of main parking lot,,NC,352-498 Devers St Honeycutt Park,28303,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:121239'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,71810,,,E,FPWC,888-758-4389,2020-01-27T10:14:46Z,,GPS,35.0683064,-78.9691856,Fayetteville,MARKETFAIR MALL; Near Market Fair entrance off of Campground Road ,,NC,5084-5398 Campground Rd,28314,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:121259'], 'ports': ['1', '2']}",
public,24 hours daily,,,2020-01-27,,ELEC,Public,72672,,,E,162781G01001010000,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.782687,-78.781277,Cary,,,NC,101  Dry Ave,27511,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,Free,,{'station': ['162781G01001010000']},
public,24 hours daily,,,2020-01-27,,ELEC,Public,72689,,,E,162781G01001020000,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.78292,-78.7811908,Cary,,,NC,101  Dry Ave,27511,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,Free,,{'station': ['162781G01001020000']},
private,,,,2020-01-27,,ELEC,Private,72827,,,E,GE WattStation #1,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.5891223,-81.2565057,Maiden,,,NC,5977 Startown Rd,28650,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['170716G01005030000']},
private,,,,2020-01-27,,ELEC,Private,72837,,,E,GE WattStation #5,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.5891223,-81.2565057,Maiden,,,NC,5977 Startown Rd,28650,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['170716G01005040000']},
private,,,,2020-01-27,,ELEC,Private,72841,,,E,GE WattStation #3,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.5891223,-81.2565057,Maiden,,,NC,5977 Startown Rd,28650,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['170716G01005050000']},
private,,,,2020-01-27,,ELEC,Private,72843,,,E,GE WattStation #4,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.5890929665,-81.2565141288,Maiden,,,NC,5977  Startown Rd,28650,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['170716G01005010000']},
public,24 hours daily,,,2020-01-27,,ELEC,Public,72941,,,E,GE-Cary WattStation 2,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.8258283,-78.7977763,Cary,,,NC,2000  Centregreen Way,27513,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,Free,,{'station': ['180226G01001020000']},
private,,,,2020-01-27,,ELEC,Private,72961,,,E,GE WattStation #2,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.5891355,-81.2565034,Maiden,,,NC,5977  Startown Rd,28650,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['963868G01001010000']},
private,24 hours daily,,,2020-01-27,,ELEC,Private,72988,,,E,GE WattStation2,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.9768433,-78.5086206,Wake Forest,,,NC,301  Brooks St,27587,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180763G01001010000']},
private,24 hours daily,,,2020-01-27,,ELEC,Private,73007,,,E,GE WattStation1,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.9768433,-78.5087206,Wake Forest,,,NC,301  Brooks St,27587,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180763G01001020000']},
private,,,,2020-01-27,,ELEC,Private,73062,,,E,GE Cary WattStation 1,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.8258283,-78.7978763,Cary,,,NC,2000  Centregreen Way,27513,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180226G01001030000']},
private,,,,2020-01-27,,ELEC,Private,73081,,,E,GE-Cary WattStation 3,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.8258283,-78.7979763,Cary,,,NC,2000  Centregreen Way,27513,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180226G01001010000']},
private,,,,2020-01-27,,ELEC,Private,73082,,,E,GE WattStation Cary #3,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.827017,-78.7964271,Cary,,,NC,3000  Centregreen Way,27513,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180697G01001020000']},
private,,,,2020-01-27,,ELEC,Private,73083,,,E,GE WattStation Cary #1,855-443-3873,2020-01-27T10:57:58Z,,GPS,35.827017,-78.7962271,Cary,,,NC,3000  Centregreen Way,27513,US,['J1772'],,,1.0,GE WattStation,https://www.gewattstation.com,,,,{'station': ['180697G01001010000']},
